Date1,Price_USDJPY,Price_EURUSD,Price_GBPJPY,weekday,day,month,year,firstday,USDJPYreturn,EURUSDreturn,GBPJPYreturn
1/5/1971,357.81,,856.919,3,5,1,1971,0,0.000223632,,0.000683145
1/6/1971,357.86,,857.683,4,6,1,1971,0,0.000139739,,0.000891566
1/7/1971,357.87,,857.563,5,7,1,1971,0,2.79439E-05,,-0.000139912
1/8/1971,357.82,,857.766,6,8,1,1971,0,-0.000139716,,0.000236717
1/11/1971,357.95,,858.793,2,11,1,1971,0,0.000363311,,0.001197296
1/12/1971,358.06,,859.379,3,12,1,1971,0,0.000307306,,0.000682353
1/13/1971,358.44,,861.008,4,13,1,1971,0,0.001061275,,0.001895555
1/14/1971,358.4,,862.704,5,14,1,1971,0,-0.000111595,,0.001969784
1/15/1971,358.4,,862.202,6,15,1,1971,0,0,,-0.000581891
1/18/1971,358.29,,861.759,2,18,1,1971,0,-0.00030692,,-0.000513801
1/19/1971,358.35,,862.942,3,19,1,1971,0,0.000167462,,0.001372774
1/20/1971,358.4,,863.027,4,20,1,1971,0,0.000139528,,9.85002E-05
1/21/1971,358.27,,863.144,5,21,1,1971,0,-0.000362723,,0.000135569
1/22/1971,357.9,,862.646,6,22,1,1971,0,-0.001032741,,-0.000576961
1/25/1971,357.73,,863.81,2,25,1,1971,0,-0.000474993,,0.001349337
1/26/1971,357.78,,864.396,3,26,1,1971,0,0.00013977,,0.00067839
1/27/1971,357.79,,864.456,4,27,1,1971,0,2.79501E-05,,6.94126E-05
1/28/1971,357.83,,864.839,5,28,1,1971,0,0.000111797,,0.000443053
1/29/1971,357.72,,864.752,6,29,1,1971,0,-0.000307409,,-0.000100597
2/1/1971,357.67,,864.989,2,1,2,1971,1,-0.000139774,,0.000274067
2/2/1971,357.55,,864.591,3,2,2,1971,0,-0.000335505,,-0.000460121
2/3/1971,357.54,,864.674,4,3,2,1971,0,-0.000027968,,9.59991E-05
2/4/1971,357.51,,863.994,5,4,2,1971,0,-0.000083907,,-0.000786424
2/5/1971,357.53,,863.327,6,5,2,1971,0,5.59425E-05,,-0.000771996
2/8/1971,357.49,,864.482,2,8,2,1971,0,-0.000111879,,0.001337848
2/9/1971,357.5,,863.398,3,9,2,1971,0,2.79728E-05,,-0.00125393
2/10/1971,357.5,,863.684,4,10,2,1971,0,0,,0.000331249
2/11/1971,357.5,,863.648,5,11,2,1971,0,0,,-0.000041682
2/12/1971,357.5,,863.648,6,12,2,1971,0,0,,0
2/15/1971,357.5,,863.648,2,15,2,1971,0,0,,0
2/16/1971,357.53,,864.972,3,16,2,1971,0,8.39161E-05,,0.001533032
2/17/1971,357.53,,864.972,4,17,2,1971,0,0,,0
2/18/1971,357.53,,864.9,5,18,2,1971,0,0,,-0.00008324
2/19/1971,357.56,,864.937,6,19,2,1971,0,0.000083909,,4.27795E-05
2/22/1971,357.6,,865.105,2,22,2,1971,0,0.000111869,,0.000194234
2/23/1971,357.55,,865.02,3,23,2,1971,0,-0.000139821,,-0.000098254
2/24/1971,357.6,,865.141,4,24,2,1971,0,0.000139841,,0.000139881
2/25/1971,357.56,,864.472,5,25,2,1971,0,-0.000111857,,-0.000773284
2/26/1971,357.56,,863.864,6,26,2,1971,0,0,,-0.000703319
3/1/1971,357.63,,864.105,2,1,3,1971,1,0.000195771,,0.000278979
3/2/1971,357.56,,864.723,3,2,3,1971,0,-0.000195733,,0.000715191
3/3/1971,357.49,,864.875,4,3,3,1971,0,-0.000195771,,0.000175779
3/4/1971,357.45,,864.278,5,4,3,1971,0,-0.000111891,,-0.000690273
3/5/1971,357.59,,864.759,6,5,3,1971,0,0.000391663,,0.000556534
3/8/1971,357.55,,864.984,2,8,3,1971,0,-0.00011186,,0.000260188
3/9/1971,357.46,,864.624,3,9,3,1971,0,-0.000251713,,-0.000416193
3/10/1971,357.59,,865.081,4,10,3,1971,0,0.000363677,,0.000528554
3/11/1971,357.56,,864.866,5,11,3,1971,0,-0.000083895,,-0.000248532
3/12/1971,357.58,,865.093,6,12,3,1971,0,5.59347E-05,,0.000262468
3/15/1971,357.54,,864.996,2,15,3,1971,0,-0.000111863,,-0.000112127
3/16/1971,357.49,,864.518,3,16,3,1971,0,-0.000139844,,-0.000552604
3/17/1971,357.53,,865.008,4,17,3,1971,0,0.000111891,,0.00056679
3/18/1971,357.56,,864.937,5,18,3,1971,0,0.000083909,,-0.00008208
3/19/1971,357.56,,864.937,6,19,3,1971,0,0,,0
3/22/1971,357.44,,864.754,2,22,3,1971,0,-0.000335608,,-0.000211576
3/23/1971,357.53,,864.972,3,23,3,1971,0,0.000251791,,0.000252095
3/24/1971,357.53,,865.008,4,24,3,1971,0,0,,4.16198E-05
3/25/1971,357.47,,864.541,5,25,3,1971,0,-0.000167818,,-0.000539879
3/26/1971,357.47,,864.648,6,26,3,1971,0,0,,0.000123765
3/29/1971,357.44,,864.79,2,29,3,1971,0,-0.000083923,,0.000164229
3/30/1971,357.49,,864.446,3,30,3,1971,0,0.000139884,,-0.000397784
3/31/1971,357.42,,863.812,4,31,3,1971,0,-0.00019581,,-0.000733418
4/1/1971,357.49,,863.231,5,1,4,1971,1,0.000195848,,-0.0006726
4/2/1971,357.53,,862.541,6,2,4,1971,0,0.000111891,,-0.000799323
4/5/1971,357.5,,863.755,2,5,4,1971,0,-0.000083909,,0.001407469
4/6/1971,357.46,,864.659,3,6,4,1971,0,-0.000111888,,0.001046593
4/7/1971,357.55,,864.198,4,7,4,1971,0,0.000251776,,-0.000533158
4/8/1971,357.55,,864.091,5,8,4,1971,0,0,,-0.000123814
4/9/1971,357.5,,863.97,6,9,4,1971,0,-0.000139841,,-0.000140032
4/12/1971,357.5,,864.041,2,12,4,1971,0,0,,8.21788E-05
4/13/1971,357.62,,864.26,3,13,4,1971,0,0.000335664,,0.00025346
4/14/1971,357.58,,864.628,4,14,4,1971,0,-0.000111851,,0.000425798
4/15/1971,357.5,,864.685,5,15,4,1971,0,-0.000223726,,6.59243E-05
4/16/1971,357.54,,864.746,6,16,4,1971,0,0.000111888,,7.05459E-05
4/19/1971,357.49,,864.875,2,19,4,1971,0,-0.000139844,,0.000149177
4/20/1971,357.49,,864.875,3,20,4,1971,0,0,,0
4/21/1971,357.49,,864.982,4,21,4,1971,0,0,,0.000123717
4/22/1971,357.49,,864.661,5,22,4,1971,0,0,,-0.000371106
4/23/1971,357.49,,864.732,6,23,4,1971,0,0,,8.21131E-05
4/26/1971,357.5,,864.721,2,26,4,1971,0,2.79728E-05,,-0.000012721
4/27/1971,357.49,,864.768,3,27,4,1971,0,-0.000027972,,5.43528E-05
4/28/1971,357.5,,864.971,4,28,4,1971,0,2.79728E-05,,0.000234745
4/29/1971,357.41,,864.646,5,29,4,1971,0,-0.000251748,,-0.000375735
4/30/1971,357.4,,864.657,6,30,4,1971,0,-0.000027979,,0.000012722
5/3/1971,357.41,,864.539,2,3,5,1971,1,2.79799E-05,,-0.00013647
5/4/1971,357.4,,864.371,3,4,5,1971,0,-0.000027979,,-0.000194323
5/5/1971,357.4,,864.693,4,5,5,1971,0,0,,0.000372525
5/6/1971,357.41,,864.396,5,6,5,1971,0,2.79799E-05,,-0.000343475
5/7/1971,357.41,,864.503,6,7,5,1971,0,0,,0.000123786
5/10/1971,357.14,,863.314,2,10,5,1971,0,-0.000755435,,-0.001375357
5/11/1971,357.44,,863.932,3,11,5,1971,0,0.000840007,,0.000715846
5/12/1971,357.53,,864.614,4,12,5,1971,0,0.000251791,,0.000789414
5/13/1971,357.49,,864.518,5,13,5,1971,0,-0.000111879,,-0.000111032
5/14/1971,357.49,,864.625,6,14,5,1971,0,0,,0.000123768
5/17/1971,357.4,,864.657,2,17,5,1971,0,-0.000251755,,3.70103E-05
5/18/1971,357.44,,864.647,3,18,5,1971,0,0.000111919,,-0.000011565
5/19/1971,357.4,,864.693,4,19,5,1971,0,-0.000111907,,5.32009E-05
5/20/1971,357.46,,864.802,5,20,5,1971,0,0.000167879,,0.000126056
5/21/1971,357.4,,864.693,6,21,5,1971,0,-0.000167851,,-0.00012604
5/24/1971,357.4,,864.693,2,24,5,1971,0,0,,0
5/25/1971,357.4,,864.55,3,25,5,1971,0,0,,-0.000165377
5/26/1971,357.44,,864.79,4,26,5,1971,0,0.000111919,,0.000277601
5/27/1971,357.4,,864.443,5,27,5,1971,0,-0.000111907,,-0.000401253
5/28/1971,357.4,,864.121,6,28,5,1971,0,0,,-0.000372494
5/31/1971,357.4,,864.121,2,31,5,1971,0,0,,0
6/1/1971,357.46,,863.694,3,1,6,1971,1,0.000167879,,-0.000494144
6/2/1971,357.4,,863.835,4,2,6,1971,0,-0.000167851,,0.000163252
6/3/1971,357.46,,864.624,5,3,6,1971,0,0.000167879,,0.000913369
6/4/1971,357.4,,864.55,6,4,6,1971,0,-0.000167851,,-0.000085586
6/7/1971,357.4,,864.622,2,7,6,1971,0,0,,8.32803E-05
6/8/1971,357.4,,864.479,3,8,6,1971,0,0,,-0.00016539
6/9/1971,357.4,,864.693,4,9,6,1971,0,0,,0.000247548
6/10/1971,357.4,,864.657,5,10,6,1971,0,0,,-0.000041633
6/11/1971,357.4,,864.693,6,11,6,1971,0,0,,0.000041635
6/14/1971,357.4,,864.407,2,14,6,1971,0,0,,-0.000330753
6/15/1971,357.46,,864.588,3,15,6,1971,0,0.000167879,,0.000209392
6/16/1971,357.46,,864.802,4,16,6,1971,0,0,,0.000247517
6/17/1971,357.46,,864.659,5,17,6,1971,0,0,,-0.000165356
6/18/1971,357.4,,864.586,6,18,6,1971,0,-0.000167851,,-0.000084426
6/21/1971,357.4,,864.586,2,21,6,1971,0,0,,0
6/22/1971,357.4,,864.55,3,22,6,1971,0,0,,-0.000041638
6/23/1971,357.4,,864.729,4,23,6,1971,0,0,,0.000207044
