Date,Price_USDJPY,Price_EURUSD,Price_GBPJPY,weekday,day,month,year,firstday,USDJPYreturn,EURUSDreturn,GBPJPYreturn
01/05/1971,357.81,,856.919,3,5,1,1971,0,0.0002236323,,0.0006831447
01/06/1971,357.86,,857.683,4,6,1,1971,0,0.000139739,,0.0008915662
01/07/1971,357.87,,857.563,5,7,1,1971,0,0.0000279439,,-0.000139912
01/08/1971,357.82,,857.766,6,8,1,1971,0,-0.000139716,,0.0002367173
01/11/1971,357.95,,858.793,2,11,1,1971,0,0.0003633112,,0.0011972962
01/12/1971,358.06,,859.379,3,12,1,1971,0,0.0003073055,,0.000682353
01/13/1971,358.44,,861.008,4,13,1,1971,0,0.0010612746,,0.0018955548
01/14/1971,358.4,,862.704,5,14,1,1971,0,-0.000111595,,0.0019697843
01/15/1971,358.4,,862.202,6,15,1,1971,0,0,,-0.000581891
01/18/1971,358.29,,861.759,2,18,1,1971,0,-0.00030692,,-0.000513801
01/19/1971,358.35,,862.942,3,19,1,1971,0,0.0001674621,,0.0013727736
01/20/1971,358.4,,863.027,4,20,1,1971,0,0.0001395284,,0.0000985002
01/21/1971,358.27,,863.144,5,21,1,1971,0,-0.000362723,,0.0001355693
01/22/1971,357.9,,862.646,6,22,1,1971,0,-0.001032741,,-0.000576961
01/25/1971,357.73,,863.81,2,25,1,1971,0,-0.000474993,,0.0013493368
01/26/1971,357.78,,864.396,3,26,1,1971,0,0.0001397702,,0.0006783899
01/27/1971,357.79,,864.456,4,27,1,1971,0,0.0000279501,,0.0000694126
01/28/1971,357.83,,864.839,5,28,1,1971,0,0.0001117974,,0.0004430532
01/29/1971,357.72,,864.752,6,29,1,1971,0,-0.000307409,,-0.000100597
02/01/1971,357.67,,864.989,2,1,2,1971,1,-0.000139774,,0.000274067
02/02/1971,357.55,,864.591,3,2,2,1971,0,-0.000335505,,-0.000460121
02/03/1971,357.54,,864.674,4,3,2,1971,0,-0.000027968,,0.0000959991
02/04/1971,357.51,,863.994,5,4,2,1971,0,-0.000083907,,-0.000786424
02/05/1971,357.53,,863.327,6,5,2,1971,0,0.0000559425,,-0.000771996
02/08/1971,357.49,,864.482,2,8,2,1971,0,-0.000111879,,0.0013378477
02/09/1971,357.5,,863.398,3,9,2,1971,0,0.0000279728,,-0.00125393
02/10/1971,357.5,,863.684,4,10,2,1971,0,0,,0.0003312493
02/11/1971,357.5,,863.648,5,11,2,1971,0,0,,-0.000041682
02/12/1971,357.5,,863.648,6,12,2,1971,0,0,,0
02/15/1971,357.5,,863.648,2,15,2,1971,0,0,,0
02/16/1971,357.53,,864.972,3,16,2,1971,0,0.0000839161,,0.001533032
02/17/1971,357.53,,864.972,4,17,2,1971,0,0,,0
02/18/1971,357.53,,864.9,5,18,2,1971,0,0,,-0.00008324
02/19/1971,357.56,,864.937,6,19,2,1971,0,0.000083909,,0.0000427795
02/22/1971,357.6,,865.105,2,22,2,1971,0,0.0001118693,,0.0001942338
02/23/1971,357.55,,865.02,3,23,2,1971,0,-0.000139821,,-0.000098254
02/24/1971,357.6,,865.141,4,24,2,1971,0,0.0001398406,,0.0001398812
02/25/1971,357.56,,864.472,5,25,2,1971,0,-0.000111857,,-0.000773284
