Date,Price USDJPY,Price EURUSD,Price GBPJPY
1/18/2017,113.65,1.0665,139.654
1/17/2017,112.62,1.0713,139.833
1/16/2017,114.2,1.0601,137.573
,,,
1/13/2017,114.49,1.0643,139.463
1/12/2017,114.72,1.0613,139.517
1/11/2017,115.41,1.0582,140.957
1/10/2017,115.77,1.0554,140.965
1/9/2017,116.03,1.0574,141.121
,,,
1/6/2017,117.02,1.0532,143.833
1/5/2017,115.35,1.0607,143.278
1/4/2017,117.25,1.0489,144.477
1/3/2017,117.75,1.0405,144.108
1/2/2017,117.55,1.0455,144.328
,,,
12/30/2016,116.96,1.0517,144.503
12/29/2016,116.54,1.049,142.894
12/28/2016,117.26,1.0413,143.382
12/27/2016,117.43,1.0457,144.095
12/26/2016,117.1,1.0455,143.854
,,,
12/23/2016,117.33,1.0456,143.949
12/22/2016,117.54,1.0437,144.346
12/21/2016,117.55,1.0424,145.225
12/20/2016,117.86,1.0388,145.775
12/19/2016,117.09,1.0402,145.13
,,,
12/16/2016,117.93,1.0451,147.374
12/15/2016,118.18,1.0414,146.759
12/14/2016,117.04,1.0536,147.064
12/13/2016,115.19,1.0626,145.798
12/12/2016,115.02,1.0635,145.854
,,,
12/9/2016,115.32,1.0561,145.135
12/8/2016,114.04,1.0615,143.55
12/7/2016,113.77,1.0753,143.632
12/6/2016,114.02,1.0718,144.55
12/5/2016,113.85,1.0764,144.953
,,,
12/2/2016,113.51,1.0664,144.496
12/1/2016,114.1,1.0661,143.671
11/30/2016,114.46,1.0589,143.154
11/29/2016,112.38,1.065,140.423
11/28/2016,111.94,1.0614,139
,,,
11/25/2016,113.22,1.0589,141.262
11/24/2016,113.33,1.0554,141.102
11/23/2016,112.52,1.0553,139.983
11/22/2016,111.14,1.0627,138.06
11/21/2016,110.82,1.063,138.444
,,,
11/18/2016,110.91,1.0588,136.89
11/17/2016,110.12,1.0626,136.738
11/16/2016,109.08,1.0691,135.723
11/15/2016,109.2,1.0722,136.028
11/14/2016,108.42,1.0737,135.427
,,,
11/11/2016,106.65,1.0855,134.313
11/10/2016,106.83,1.0893,134.108
11/9/2016,105.67,1.091,131.099
11/8/2016,105.16,1.1026,130.172
11/7/2016,104.46,1.1041,129.486
,,,
11/4/2016,103.12,1.1141,129.076
11/3/2016,102.98,1.1105,128.336
11/2/2016,103.3,1.1098,127.105
11/1/2016,104.15,1.1055,127.519
10/31/2016,104.82,1.0981,128.324
,,,
10/28/2016,104.74,1.0985,127.639
10/27/2016,105.29,1.0897,128.076
10/26/2016,104.47,1.0908,127.953
10/25/2016,104.22,1.0889,127.043
10/24/2016,104.18,1.0882,127.494
,,,
10/21/2016,103.8,1.0884,126.999
10/20/2016,103.95,1.0929,127.379
10/19/2016,103.44,1.0974,127.084
10/18/2016,103.87,1.0981,127.728
10/17/2016,103.89,1.1,126.559
,,,
10/14/2016,104.18,1.0972,127.023
10/13/2016,103.71,1.1056,127.081
10/12/2016,104.21,1.1007,127.117
10/11/2016,103.51,1.1054,125.489
10/10/2016,103.61,1.1139,128.076
,,,
10/7/2016,102.98,1.1201,127.971
10/6/2016,103.95,1.1151,131.133
10/5/2016,103.5,1.1205,131.958
10/4/2016,102.9,1.1204,130.973
10/3/2016,101.65,1.1211,130.537
,,,
9/30/2016,101.35,1.1235,131.495
9/29/2016,101.03,1.1222,131.011
9/28/2016,100.69,1.1217,131.082
9/27/2016,100.43,1.1215,130.785
9/26/2016,100.33,1.1254,130.171
,,,
9/23/2016,101.02,1.1226,130.87
9/22/2016,100.76,1.1208,131.776
9/21/2016,100.32,1.1189,130.742
9/20/2016,101.7,1.1151,132.102
9/19/2016,101.93,1.1175,132.805
,,,
9/16/2016,102.29,1.1155,132.986
9/15/2016,102.1,1.1244,135.177
9/14/2016,102.43,1.125,135.569
9/13/2016,102.56,1.122,135.296
9/12/2016,101.85,1.1235,135.837
,,,
9/9/2016,102.69,1.1233,136.237
9/8/2016,102.49,1.126,136.28
9/7/2016,101.74,1.1239,135.734
9/6/2016,102.02,1.1255,137.107
9/5/2016,103.43,1.1147,137.607
,,,
9/2/2016,103.92,1.1156,138.167
9/1/2016,103.23,1.1197,136.979
8/31/2016,103.43,1.1158,135.885
8/30/2016,102.96,1.1143,134.668
8/29/2016,101.92,1.1189,133.572
,,,
8/26/2016,101.84,1.1198,133.746
8/25/2016,100.53,1.1285,132.618
8/24/2016,100.45,1.1264,132.918
8/23/2016,100.24,1.1305,132.305
8/22/2016,100.33,1.132,131.799
,,,
8/19/2016,100.22,1.1325,131.049
8/18/2016,99.89,1.1354,131.529
8/17/2016,100.28,1.1289,130.777
8/16/2016,100.31,1.1279,130.862
8/15/2016,101.26,1.1184,130.418
,,,
